feature,jm_1_2,jm_1_3,jm_1_4,jm_mean,jm_min
dist_to_valley_proxy_m,1.9622624990561865,1.9156044734178528,1.9587625000085058,1.9455431574941817,1.9156044734178528
elevation,0.8386459690476629,0.2485991364283453,0.6525097042922288,0.5799182699227456,0.2485991364283453
slope,0.22053450102301242,1.221654994353811,0.013074204750435747,0.48508790004241975,0.013074204750435747
NDBI_M04,0.814086966789795,0.11711725737626,0.4657092904073814,0.46563783819114546,0.11711725737626
blue_M04,0.2622914874387039,0.24957299704689606,0.8706924767836395,0.46085232042307983,0.24957299704689606
NDMI_M04,0.7757885287364532,0.12533379013587642,0.4490237496426366,0.4500486895049887,0.12533379013587642
swir2_M04,0.9114307280718141,0.33427065626238983,0.099616154338658,0.44843917955762064,0.099616154338658
BSI_M04,0.9509320669283721,0.07355188913023003,0.3070538589039331,0.44384593832084507,0.07355188913023003
VV_VH_ratio_M10,0.8415252764259391,0.4272271535677521,0.04515044482747532,0.4379676249403888,0.04515044482747532
LSWI_M04,0.7944144073698365,0.1890185414381369,0.32719526653144704,0.4368760717798068,0.1890185414381369
swir1_M04,0.9348928255605953,0.165311648457797,0.16396574627762983,0.42139007343200735,0.16396574627762983
green_M04,0.22377690650330173,0.18197384914652726,0.8511138032599455,0.4189548529699248,0.18197384914652726
green_M05,0.18110820456018728,0.3689729145006946,0.6688711774556879,0.4063174321721899,0.18110820456018728
VV_VH_ratio_autumn_decline,0.7911668907045619,0.32934810431869144,0.05127114344327688,0.39059537948884343,0.05127114344327688
NDBI_M10,0.7168878985360274,0.15092382044914965,0.29067197964323066,0.3861612328761359,0.15092382044914965
blue_M05,0.11962503529594759,0.3454448114812745,0.6835196637664429,0.3828631701812217,0.11962503529594759
blue_M10,0.08105683595777435,0.28995347591887355,0.7614212281207482,0.37747717999913205,0.08105683595777435
red_M04,0.15790673629702012,0.15777793753433822,0.8011506861280493,0.3722784533198025,0.15777793753433822
NDMI_M10,0.6645369619115957,0.14789214270845963,0.27271658506218,0.36171522989407845,0.14789214270845963
BSI_M10,0.7529266633448104,0.1942380502745562,0.08030937003750305,0.34249136121895657,0.08030937003750305
NDVI_tex_asm,0.6211988169808091,0.37591786502257163,0.021452459578506833,0.33952304719396253,0.021452459578506833
swir1_M08,0.7560193828525201,0.1621972169155541,0.08122710925707732,0.33314790300838387,0.08122710925707732
VV_VH_ratio_std,0.8719104862165001,0.07491078801357065,0.049348187959507905,0.3320564873965262,0.049348187959507905
NDMI_autumn_decline,0.4487439649428506,0.25276262572218067,0.2788781616258418,0.32679491743029104,0.25276262572218067
LSWI_min,0.7941692095571253,0.16632992300526928,0.01788339452531318,0.32612750902923593,0.01788339452531318
swir1_M10,0.8705293677504435,0.07991619921404602,0.02790389527459869,0.3261164874130294,0.02790389527459869
VV_VH_ratio_M03,0.788593714086572,0.14745245576977561,0.02893663532324431,0.321660935059864,0.02893663532324431
swir2_M10,0.8265958846388586,0.10263122262212243,0.02079339025751148,0.31667349917283083,0.02079339025751148
green_M10,0.056882206003360025,0.13904398308886545,0.7502222320666951,0.31538280705297356,0.056882206003360025
VV_VH_ratio_amp,0.8272347023413655,0.06245849120067826,0.035790943811430775,0.30849471245115817,0.035790943811430775
VV_VH_ratio_a0,0.7810537598935403,0.12052050563367334,0.023098742187331434,0.3082243359048484,0.023098742187331434
swir1_M07,0.6210507394179516,0.19716163991046143,0.10442326366453791,0.30754521433098364,0.10442326366453791
red_M05,0.044956294638240246,0.4157594252464092,0.46035916211217365,0.3070249606656077,0.044956294638240246
NDVI_a2,0.2473378988744641,0.5270866203275066,0.13733014232212115,0.30391822050803063,0.13733014232212115
VV_VH_ratio_max,0.8020551584511224,0.06890620333939013,0.034346705842044134,0.3017693558775189,0.034346705842044134
VV_VH_ratio_mean,0.7350642092903845,0.1277660659733726,0.036790680898871164,0.2998736520542094,0.036790680898871164
swir1_M09,0.7740580234907668,0.05388528445225704,0.06702721207243156,0.29832350667181845,0.05388528445225704
VV_VH_ratio_spring_rise,0.7372986081208726,0.1360842166771825,0.021248137378336196,0.2982103207254638,0.021248137378336196
NDVI_a3,0.20681088601631648,0.5443412085389812,0.14282589271294732,0.2979926624227483,0.14282589271294732
EVI_a2,0.2813024889598752,0.4888387354043975,0.12377525321861094,0.29797215919429454,0.12377525321861094
swir2_M08,0.681080178940656,0.11339963342429815,0.08458798740573448,0.2930225999235629,0.08458798740573448
swir2_M05,0.4250592225382439,0.3721441307322624,0.07940693887533756,0.29220343071528126,0.07940693887533756
EVI_a3,0.17995012666677823,0.5307480821983175,0.15136063768127417,0.28735294884879,0.15136063768127417
swir1_M05,0.591272380875913,0.14825474528128457,0.11300245878889137,0.284176528315363,0.11300245878889137
nir_M04,0.1414729185849506,0.01510195390750968,0.6905707464765802,0.28238187298968015,0.01510195390750968
EVI_M05,0.2607204005253887,0.37329704588494317,0.20311195771837776,0.2790431347095699,0.20311195771837776
GCVI_M03,0.5502739858406867,0.13005448050551593,0.15090427325777656,0.27707757986799303,0.13005448050551593
LSWI_M10,0.5977816730229497,0.11673114739282409,0.11411212491751899,0.2762083151110976,0.11411212491751899
swir2_M09,0.7226481955389983,0.046126253767807324,0.05982695103907587,0.2762004667819605,0.046126253767807324
EVI_a1,0.36717157163717506,0.3628776179854072,0.08415818442855527,0.2714024580170458,0.08415818442855527
NDVI_r2,0.5623328528317018,0.009761349922760454,0.2364202827882833,0.2695048285142485,0.009761349922760454
red_M10,0.046894308840238486,0.06677176361452664,0.6921468821105945,0.2686043181884532,0.046894308840238486
VH_db_r2,0.1847835327552867,0.4859508841860425,0.1306278809024164,0.2671207659479152,0.1306278809024164
NDVI_a1,0.24163082844705142,0.4194960795024645,0.13434780367149357,0.26515823720700316,0.13434780367149357
NDMI_r2,0.16337811314132655,0.3441147891119869,0.27070422574704045,0.25939904266678465,0.16337811314132655
swir1_M06,0.6056961679576796,0.08279333907363506,0.08364556989633432,0.25737835897588296,0.08279333907363506
NDMI_min,0.7276398439882537,0.02715388279449238,0.013712370744201285,0.2561686991756491,0.013712370744201285
LSWI_autumn_decline,0.34687294960554227,0.22240568780925019,0.16511808267541928,0.24479890669673723,0.16511808267541928
VV_VH_ratio_M04,0.64299686483973,0.05951767167995947,0.025953905571264313,0.2428228140303179,0.025953905571264313
swir2_M07,0.5429172972520591,0.08318446181292893,0.09372523364065954,0.23994233090188252,0.08318446181292893
NDBI_M09,0.33799246322059107,0.22154355053985175,0.1570760696488227,0.23887069446975517,0.1570760696488227
VV_db_a3,0.2703885216986992,0.3179743874846144,0.12603940658680157,0.23813410525670506,0.12603940658680157
NDVI_M05,0.08645143706712521,0.42177318151591536,0.20278242499021149,0.23700234785775068,0.08645143706712521
red_M08,0.622557993288519,0.011849244563352013,0.07635379185623092,0.23692034323603398,0.011849244563352013
BSI_M09,0.3268941417574225,0.18007913932625152,0.19844422584420895,0.235139168975961,0.18007913932625152
VH_db_M04,0.024833194251857593,0.5291506030336217,0.1414977577213432,0.23182718500227417,0.024833194251857593
VV_minus_VH_db_r2,7.498146490347857e-05,0.5680163956627604,0.11973744962949717,0.22927627558572036,7.498146490347857e-05
VH_db_a3,0.09525061660329714,0.5078368367894988,0.08446678747153524,0.22918474695477706,0.08446678747153524
VV_VH_ratio_r2,0.0018626808534720762,0.5454840427197074,0.13895990936672042,0.2287688776466333,0.0018626808534720762
VH_db_std,0.13624079096117003,0.5343192136423962,0.013824240722304815,0.22812808177529034,0.013824240722304815
EVI_a0,0.4478353368959185,0.03607319865744696,0.19772308877920897,0.22721054144419148,0.03607319865744696
red_M07,0.5934442618938918,0.018023582683334594,0.06599463616722878,0.2258208269148184,0.018023582683334594
VH_db_amp,0.17260987808797568,0.46977795842278924,0.019027947451109917,0.22047192798729162,0.019027947451109917
VV_VH_ratio_M09,0.545601943969674,0.06955219099621668,0.04248880135277422,0.21921431210622164,0.04248880135277422
NDMI_M09,0.26745364159479523,0.21450778981725116,0.17198656059571782,0.21798266400258806,0.17198656059571782
EVI_M04,0.11742890792579952,0.12880052098696249,0.3972491410664438,0.21449285665973528,0.11742890792579952
VV_minus_VH_db_a0,0.30700903195922713,0.29306741763301547,0.041079242192516796,0.21371856392825314,0.041079242192516796
VV_minus_VH_db_std,0.29302660209140985,0.3406536146630197,0.006884077330881366,0.2135214313617703,0.006884077330881366
GCVI_M05,0.12634910942301203,0.23688583975838284,0.27679107439833484,0.2133420078599099,0.12634910942301203
EVI_M03,0.4104138060154858,0.015074808937457274,0.21194369109404043,0.21247743534899452,0.015074808937457274
blue_M08,0.511046807275511,0.01303236570989097,0.11176458408217038,0.2119479190225241,0.01303236570989097
NDVI_mean,0.2436887650388837,0.15897954949893722,0.23268486043310532,0.2117843916569754,0.15897954949893722
