feature,blocked_by,correlation
blue_M07,green_M07,0.9977965950620944
swir1_M10,swir2_M10,0.9559703824992718
red_M07,green_M07,0.9935067382330153
green_M08,blue_M08,0.997142424953861
red_M05,green_M05,0.9971008074448893
NDMI_autumn_decline,LSWI_autumn_decline,0.9833100606770666
blue_M09,green_M09,0.9974971028450789
VH_db_amp,VH_db_std,0.9833511410896166
LSWI_min,NDMI_min,0.9580340867952698
red_M08,blue_M08,0.9870918153575454
red_M09,green_M09,0.9946485574958657
NDVI_a3,NDVI_a2,0.964519000533517
swir1_M04,swir2_M04,0.9665333842710812
NDMI_M08,NDBI_M08,0.9935572055760881
blue_M05,green_M05,0.9990024014681331
