class,source,sample_id,group_id,band_month,value,feature_name,month,time_offset,class_name
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M03,0.07578174419112715,EVI,3,0,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M04,0.12217084461268488,EVI,4,1,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M05,0.5515396540280095,EVI,5,2,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M06,0.6135646566297082,EVI,6,3,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M07,0.5337109649916338,EVI,7,4,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M08,0.47991377322270307,EVI,8,5,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M09,0.4594632655101578,EVI,9,6,Other Forest
2,hard_negative,hardneg_00000,hardneg_00000,EVI_M10,0.3094466009697271,EVI,10,7,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M03,0.052684970916621755,EVI,3,0,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M04,0.17952509879442732,EVI,4,1,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M05,0.648104039336734,EVI,5,2,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M06,0.674366999998478,EVI,6,3,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M07,0.5414587645180892,EVI,7,4,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M08,0.4504390835630441,EVI,8,5,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M09,0.40342794061494747,EVI,9,6,Other Forest
2,hard_negative,hardneg_00001,hardneg_00001,EVI_M10,0.3198209601232771,EVI,10,7,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M03,0.05719811384357969,EVI,3,0,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M04,0.05800795735882305,EVI,4,1,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M05,0.2627477712019488,EVI,5,2,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M06,0.2019620137334224,EVI,6,3,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M07,0.2853703843241651,EVI,7,4,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M08,0.2339863206601106,EVI,8,5,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M09,0.30794001715769503,EVI,9,6,Other Forest
2,hard_negative,hardneg_00002,hardneg_00002,EVI_M10,0.15620848812672858,EVI,10,7,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M03,0.08722974578755913,EVI,3,0,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M04,0.14415863070579876,EVI,4,1,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M05,0.44665212834838397,EVI,5,2,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M06,0.5821099911216763,EVI,6,3,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M07,0.5673700282884456,EVI,7,4,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M08,0.6097035924016095,EVI,8,5,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M09,0.5308107508051141,EVI,9,6,Other Forest
2,hard_negative,hardneg_00003,hardneg_00003,EVI_M10,0.3580022341912019,EVI,10,7,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M03,0.25203373152283887,EVI,3,0,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M04,0.3123848312771346,EVI,4,1,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M05,0.4204428386389546,EVI,5,2,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M06,0.5302595424632028,EVI,6,3,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M07,0.4010511325717547,EVI,7,4,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M08,0.3286795515085019,EVI,8,5,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M09,0.2829449903138971,EVI,9,6,Other Forest
2,hard_negative,hardneg_00004,hardneg_00004,EVI_M10,0.29745594418718047,EVI,10,7,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M03,0.0965936662174992,EVI,3,0,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M04,0.1596657846552746,EVI,4,1,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M05,0.5963343619460963,EVI,5,2,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M06,0.6817041324685589,EVI,6,3,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M07,0.5735813019771556,EVI,7,4,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M08,0.5393660992948951,EVI,8,5,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M09,0.4917282105904936,EVI,9,6,Other Forest
2,hard_negative,hardneg_00005,hardneg_00005,EVI_M10,0.36280050411003284,EVI,10,7,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M03,0.04687257858900104,EVI,3,0,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M04,0.1514185653075774,EVI,4,1,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M05,0.4937804597988611,EVI,5,2,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M06,0.7584676115902587,EVI,6,3,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M07,0.6900570974463018,EVI,7,4,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M08,0.5530280645254047,EVI,8,5,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M09,0.4514711437788489,EVI,9,6,Other Forest
2,hard_negative,hardneg_00006,hardneg_00006,EVI_M10,0.2429833989816252,EVI,10,7,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M03,0.11275049276442292,EVI,3,0,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M04,0.13609973852004353,EVI,4,1,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M05,0.4523221238447631,EVI,5,2,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M06,0.620524639118289,EVI,6,3,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M07,0.5999270528685561,EVI,7,4,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M08,0.5711581653999654,EVI,8,5,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M09,0.3866502586042243,EVI,9,6,Other Forest
2,hard_negative,hardneg_00007,hardneg_00007,EVI_M10,0.21158494829652974,EVI,10,7,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M03,0.02973906971695057,EVI,3,0,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M04,0.13384489851353465,EVI,4,1,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M05,0.5551466916670598,EVI,5,2,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M06,0.6231524954929204,EVI,6,3,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M07,0.5073634490333546,EVI,7,4,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M08,0.42018449050343176,EVI,8,5,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M09,0.399722755778279,EVI,9,6,Other Forest
2,hard_negative,hardneg_00008,hardneg_00008,EVI_M10,0.31942040107663683,EVI,10,7,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M03,0.04235014677330983,EVI,3,0,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M04,0.13482044737589377,EVI,4,1,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M05,0.5482535017930779,EVI,5,2,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M06,0.614089290287755,EVI,6,3,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M07,0.43047452061628144,EVI,7,4,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M08,0.3486549416721069,EVI,8,5,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M09,0.29202582687506223,EVI,9,6,Other Forest
2,hard_negative,hardneg_00009,hardneg_00009,EVI_M10,0.15308096419203934,EVI,10,7,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M03,0.08017737394645999,EVI,3,0,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M04,0.15737239732531222,EVI,4,1,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M05,0.5787094426761162,EVI,5,2,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M06,0.6867799091428317,EVI,6,3,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M07,0.5613625931376904,EVI,7,4,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M08,0.5191361383824274,EVI,8,5,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M09,0.5223756835495716,EVI,9,6,Other Forest
2,hard_negative,hardneg_00010,hardneg_00010,EVI_M10,0.3374658046053051,EVI,10,7,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M03,0.05222057545531239,EVI,3,0,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M04,0.18339764366261063,EVI,4,1,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M05,0.6268589148631603,EVI,5,2,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M06,0.6615952488832217,EVI,6,3,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M07,0.5379831085615316,EVI,7,4,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M08,0.4934713377984657,EVI,8,5,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M09,0.4631344642292779,EVI,9,6,Other Forest
2,hard_negative,hardneg_00011,hardneg_00011,EVI_M10,0.41469132204763554,EVI,10,7,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M03,0.03344561329199236,EVI,3,0,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M04,0.15519237477093734,EVI,4,1,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M05,0.6028392124456969,EVI,5,2,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M06,0.6670834822495302,EVI,6,3,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M07,0.5692994786453093,EVI,7,4,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M08,0.40919358932977123,EVI,8,5,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M09,0.3497966476790214,EVI,9,6,Other Forest
2,hard_negative,hardneg_00012,hardneg_00012,EVI_M10,0.2910992935628538,EVI,10,7,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M03,0.0602901192951853,EVI,3,0,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M04,0.1573596377319887,EVI,4,1,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M05,0.5751283954298452,EVI,5,2,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M06,0.6081647920549873,EVI,6,3,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M07,0.49979888368524283,EVI,7,4,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M08,0.44166965971926464,EVI,8,5,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M09,0.3967229692479054,EVI,9,6,Other Forest
2,hard_negative,hardneg_00013,hardneg_00013,EVI_M10,0.25973511410508787,EVI,10,7,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M03,0.05828717833937267,EVI,3,0,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M04,0.1552390371027831,EVI,4,1,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M05,0.6039592689205916,EVI,5,2,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M06,0.6176856606853214,EVI,6,3,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M07,0.5033755072636005,EVI,7,4,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M08,0.4477438442382423,EVI,8,5,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M09,0.40377536729489316,EVI,9,6,Other Forest
2,hard_negative,hardneg_00014,hardneg_00014,EVI_M10,0.21167757033036033,EVI,10,7,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M03,0.08599131406995877,EVI,3,0,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M04,0.1806208014123596,EVI,4,1,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M05,0.5838707032478573,EVI,5,2,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M06,0.6246592984902256,EVI,6,3,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M07,0.5313847175602098,EVI,7,4,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M08,0.4991043593806985,EVI,8,5,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M09,0.45239444696078823,EVI,9,6,Other Forest
2,hard_negative,hardneg_00015,hardneg_00015,EVI_M10,0.3845441059141089,EVI,10,7,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M03,0.07407151741798751,EVI,3,0,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M04,0.23721587401874994,EVI,4,1,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M05,0.46369275553119643,EVI,5,2,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M06,0.5575572907037097,EVI,6,3,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M07,0.522080227824395,EVI,7,4,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M08,0.47165842096116756,EVI,8,5,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M09,0.32330292365226465,EVI,9,6,Other Forest
2,hard_negative,hardneg_00016,hardneg_00016,EVI_M10,0.2836424647708761,EVI,10,7,Other Forest
2,hard_negative,hardneg_00017,hardneg_00017,EVI_M03,0.1000668690583789,EVI,3,0,Other Forest
